episode,return,epsilon_end,total_steps,wall_clock_seconds,loss_mean,loss_count
1,-43.283582089553036,0.998423,250,6.29184103012085,0.0,0
2,-44.05594405594439,0.9968396666666667,500,12.270025968551636,0.0,0
3,-56.08108108108151,0.9952563333333333,750,18.204614639282227,0.0,0
4,-13.66906474820125,0.993673,1000,24.27254009246826,0.0,0
5,-55.41401273885394,0.9920896666666666,1250,30.701494455337524,0.0,0
6,-23.344947735191546,0.9905063333333334,1500,36.72106099128723,0.0,0
7,-63.09963099631057,0.988923,1750,42.69328308105469,0.0,0
8,-10.447761194029589,0.9873396666666666,2000,48.97240614891052,0.0,0
9,-36.09022556391,0.9857563333333333,2250,54.778714179992676,0.0,0
10,-70.19867549668913,0.984173,2500,61.02267861366272,0.0,0
11,-22.261484098939878,0.9825896666666667,2750,67.0471351146698,0.0,0
12,-36.45484949832798,0.9810063333333333,3000,73.03870582580566,0.0,0
13,-40.35087719298306,0.979423,3250,79.10831212997437,0.0,0
14,-34.1692789968653,0.9778396666666667,3500,85.1678638458252,0.0,0
15,-51.807228915663075,0.9762563333333333,3750,91.00325751304626,0.0,0
16,-37.70491803278697,0.974673,4000,97.0149552822113,0.0,0
17,-0.3322259136213187,0.9730896666666666,4250,103.16054654121399,0.0,0
18,-71.22302158273396,0.9715063333333334,4500,108.94482612609863,0.0,0
19,-10.95890410958898,0.969923,4750,114.88866829872131,0.0,0
20,-37.31343283582139,0.9683396666666667,5000,121.20320129394531,1.0461066961288452,1
21,-57.59717314487681,0.9667563333333333,5250,128.98083758354187,0.862143810108304,250
22,-17.91044776119385,0.965173,5500,136.60538291931152,0.7851624885834754,250
23,-43.333333333333904,0.9635896666666667,5750,144.3692741394043,0.6992349067106843,250
24,-46.8438538205986,0.9620063333333333,6000,152.223308801651,0.6632902260273695,250
25,-44.11764705882375,0.960423,6250,160.34049248695374,0.7021379684358835,250
26,-26.75159235668864,0.9588396666666666,6500,168.2470474243164,0.6692145055532456,250
27,-41.53846153846212,0.9572563333333334,6750,176.1803059577942,0.7104154702425003,250
28,-57.446808510638746,0.955673,7000,183.85223960876465,0.7193964370489121,250
29,-29.999999999999943,0.9540896666666667,7250,191.5161793231964,0.6940755849182606,250
30,-19.354838709677303,0.9525063333333333,7500,199.08412313461304,0.6989463280141354,250
31,-40.00000000000024,0.950923,7750,206.93694496154785,0.6789440297335386,250
32,-56.678700361011316,0.9493396666666667,8000,215.117990732193,0.6714350093603134,250
33,-25.093632958801827,0.9477563333333333,8250,222.92825269699097,0.7202532627880573,250
34,-26.66666666666741,0.946173,8500,230.87753033638,0.7092429025918245,250
35,-66.66666666666711,0.9445896666666667,8750,238.46445512771606,0.6999163693934679,250
36,-44.954128440367334,0.9430063333333334,9000,246.52032566070557,0.6541704095304012,250
37,-68.37944664031632,0.941423,9250,254.59875988960266,0.6981418935358524,250
38,-16.376306620209196,0.9398396666666666,9500,262.6679003238678,0.6265397855341435,250
39,-36.102236421725486,0.9382563333333334,9750,270.5504102706909,0.6808640206903219,250
40,-26.666666666666664,0.936673,10000,278.2458941936493,0.7253988590240479,250
41,-22.535211267605597,0.9350896666666667,10250,286.24827885627747,0.7246390559971333,250
42,-20.138888888888893,0.9335063333333333,10500,293.99702405929565,0.699697680786252,250
43,-29.82456140350886,0.9319230000000001,10750,301.73410534858704,0.6823964384347201,250
44,-64.53900709219917,0.9303396666666667,11000,309.7405650615692,0.6849808615595102,250
45,-37.14285714285735,0.9287563333333333,11250,317.81131386756897,0.6740935734510421,250
46,-32.659932659932764,0.927173,11500,325.53794956207275,0.6838998500704765,250
47,-53.33333333333401,0.9255896666666666,11750,333.3462772369385,0.6761501834541559,250
48,-7.692307692307473,0.9240063333333334,12000,341.0073821544647,0.6693919423669576,250
49,-45.28875379939229,0.922423,12250,349.057599067688,0.741332202643156,250
50,-54.929577464789354,0.9208396666666667,12500,357.3470458984375,0.7434937497675419,250
51,-20.454545454545283,0.9192563333333333,12750,365.0467598438263,0.6802338462024927,250
52,-67.8571428571432,0.917673,13000,372.88004422187805,0.6884407272934914,250
53,-32.69230769230812,0.9160896666666667,13250,380.8954517841339,0.719977912068367,250
54,-36.170212765957665,0.9145063333333333,13500,388.917236328125,0.7277607768774033,250
55,-50.00000000000034,0.912923,13750,396.58803725242615,0.6952179981768132,250
56,-29.487179487179578,0.9113396666666667,14000,404.43458342552185,0.7136161492913962,250
57,-61.937716262976274,0.9097563333333334,14250,412.2826409339905,0.7435025418996811,250
58,-36.50793650793686,0.908173,14500,420.1880271434784,0.6986508905887604,250
59,-47.3684210526319,0.9065896666666666,14750,428.19897842407227,0.8009519598186016,250
60,-16.967509025270633,0.9050063333333334,15000,436.295850276947,0.7218826876580715,250
61,-60.60606060606117,0.903423,15250,444.6231634616852,0.740545882076025,250
