episode,return,epsilon_end,total_steps,wall_clock_seconds,loss_mean,loss_count
1,-12.727272727272982,0.998423,250,5.891416072845459,0.0,0
2,-49.152542372882124,0.9968396666666667,500,12.143840312957764,0.0,0
3,-57.51633986928178,0.9952563333333333,750,18.104669094085693,0.0,0
4,-52.05479452054856,0.993673,1000,24.135417222976685,0.0,0
5,-52.89855072463807,0.9920896666666666,1250,29.950950622558594,0.0,0
6,-27.00729927007306,0.9905063333333334,1500,35.70503282546997,0.0,0
7,-26.282051282051217,0.988923,1750,41.68772602081299,0.0,0
8,-38.848920863309814,0.9873396666666666,2000,47.658217906951904,0.0,0
9,-55.39033457249126,0.9857563333333333,2250,53.67598247528076,0.0,0
10,-42.17687074829951,0.984173,2500,59.63796615600586,0.0,0
11,-44.85294117647103,0.9825896666666667,2750,65.7740650177002,0.0,0
12,-52.54237288135627,0.9810063333333333,3000,71.61518430709839,0.0,0
13,-56.521739130435236,0.979423,3250,78.15730547904968,0.0,0
14,-30.131004366812256,0.9778396666666667,3500,83.76389384269714,0.0,0
15,-67.97153024911071,0.9762563333333333,3750,89.62114572525024,0.0,0
16,-36.61971830985958,0.974673,4000,95.48362684249878,0.0,0
17,-31.888544891640873,0.9730896666666666,4250,101.53066229820251,0.0,0
18,-31.740614334471204,0.9715063333333334,4500,107.34234666824341,0.0,0
19,-68.08510638297906,0.969923,4750,113.2095959186554,0.0,0
20,-66.04938271604988,0.9683396666666667,5000,119.74176168441772,1.6598243713378906,1
21,-58.217270194986995,0.9667563333333333,5250,128.24787974357605,0.8351757570058107,250
22,-67.74193548387134,0.965173,5500,135.86411261558533,0.6491834798529744,250
23,-37.50000000000019,0.9635896666666667,5750,143.50864219665527,0.5686490329429508,250
24,-77.27272727272717,0.9620063333333333,6000,151.1396517753601,0.6134416460692883,250
25,-4.942965779467554,0.960423,6250,158.6862120628357,0.6309662812277674,250
26,-36.45484949832808,0.9588396666666666,6500,166.37333607673645,0.6098768226727843,250
27,-72.22222222222237,0.9572563333333334,6750,174.2652187347412,0.5617406887859107,250
28,-70.68403908794812,0.955673,7000,182.34421730041504,0.5593710640072822,250
29,-70.77922077922102,0.9540896666666667,7250,189.9093418121338,0.5781395727992058,250
30,-34.027777777777864,0.9525063333333333,7500,197.40186285972595,0.5834177136123181,250
31,-18.149466192171015,0.950923,7750,205.3742322921753,0.6063527069091796,250
32,-34.71810089020788,0.9493396666666667,8000,213.4164798259735,0.5520745287910104,250
33,-58.45697329376905,0.9477563333333333,8250,221.41627526283264,0.6419100556969642,250
34,-29.44785276073629,0.946173,8500,229.49505496025085,0.552007357120514,250
35,-23.636363636363605,0.9445896666666667,8750,237.0569622516632,0.6065601286739111,250
36,-42.12218649517713,0.9430063333333334,9000,244.75037026405334,0.6009067525863647,250
37,-30.23255813953526,0.941423,9250,252.51825070381165,0.5460010889172554,250
38,-66.19718309859202,0.9398396666666666,9500,260.54025983810425,0.5829733062535525,250
39,-52.54237288135627,0.9382563333333334,9750,268.29376220703125,0.6091632165908814,250
40,-57.0552147239269,0.936673,10000,276.3423855304718,0.5851780408769846,250
41,-65.03496503496572,0.9350896666666667,10250,284.40307426452637,0.5842865141481162,250
42,-14.498141263941065,0.9335063333333333,10500,292.06591796875,0.5906678913235665,250
43,-34.70790378006878,0.9319230000000001,10750,299.8277938365936,0.5680164592862129,250
44,-67.53246753246803,0.9303396666666667,11000,307.68114376068115,0.5877037909626961,250
45,-22.81879194630871,0.9287563333333333,11250,315.5084276199341,0.5659823555946351,250
46,-51.80722891566332,0.927173,11500,323.60207772254944,0.5742001788020134,250
47,-37.50000000000017,0.9255896666666666,11750,331.47814083099365,0.606480150476098,250
48,-79.66101694915224,0.9240063333333334,12000,339.30596232414246,0.5633310179635882,250
49,-31.0344827586214,0.922423,12250,347.1153185367584,0.5656072939634323,250
50,-42.857142857143145,0.9208396666666667,12500,354.84554743766785,0.6030376403778791,250
51,-66.41791044776161,0.9192563333333333,12750,362.5837359428406,0.6092687870562077,250
52,-59.7523219814247,0.917673,13000,370.518949508667,0.572602589905262,250
53,-43.217665615142835,0.9160896666666667,13250,378.3482322692871,0.6244043583720923,250
54,-38.31168831168868,0.9145063333333333,13500,386.0070161819458,0.5781121867895126,250
55,10.655737704917538,0.912923,13750,393.6541864871979,0.5774634353518486,250
56,-52.05479452054835,0.9113396666666667,14000,401.3958852291107,0.5860662945136428,250
57,-62.02531645569678,0.9097563333333334,14250,409.20693373680115,0.6734175204634666,250
58,-27.335640138408362,0.908173,14500,416.85200023651123,0.6032651579231024,250
59,-54.86111111111172,0.9065896666666666,14750,424.42586374282837,0.5973901735544205,250
60,-44.02985074626894,0.9050063333333334,15000,432.1979341506958,0.6170499603748322,250
61,-70.29702970297053,0.903423,15250,440.175772190094,0.6530690026283265,250
62,-56.98924731182839,0.9018396666666667,15500,447.86410784721375,0.5961831785738468,250
63,-78.64768683273996,0.9002563333333333,15750,455.6260898113251,0.5899863293915987,250
64,-25.53191489361771,0.898673,16000,463.34252309799194,0.5850043068826198,250
65,-22.794117647058695,0.8970896666666667,16250,470.99675583839417,0.6239887705743313,250
66,-60.47430830039572,0.8955063333333333,16500,478.69755578041077,0.6495990066677332,250
67,-70.96774193548403,0.893923,16750,486.53485226631165,0.6551234095245599,250
68,-63.93442622950873,0.8923396666666666,17000,494.4681043624878,0.6231079173386097,250
69,-55.0173010380628,0.8907563333333334,17250,502.35501646995544,0.6263811621665955,250
70,-53.40501792114764,0.889173,17500,510.025288105011,0.635674491405487,250
71,-37.95620437956226,0.8875896666666667,17750,517.8968670368195,0.6654202355444432,250
72,-67.10526315789511,0.8860063333333333,18000,525.7782969474792,0.5974095270484686,250
73,-71.32616487455213,0.884423,18250,533.3582799434662,0.6930605371594429,250
