variant,final_return_mean,final_return_std,best_rolling_return_mean,best_rolling_return_std,total_runtime_seconds_mean,total_runtime_seconds_std,mean_episode_duration_seconds_mean,mean_episode_duration_seconds_std
dqn_gray,437.0929919706075,0.0,440.4274803731873,0.0,7831.084612607956,0.0,7.831084612607956,0.0
dqn_rgb,589.5559721239003,0.0,591.9017028011647,0.0,8315.98049545288,0.0,8.31598049545288,0.0
ddqn_gray,568.3819362746159,0.0,587.8083083527974,0.0,7936.853442907333,0.0,7.936853442907333,0.0
ddqn_rgb,645.6238789495005,0.0,656.9649605291934,0.0,8381.329804182053,0.0,8.381329804182053,0.0
