episode,return,epsilon_end,total_steps,wall_clock_seconds,loss_mean,loss_count
1,-43.573667711599704,0.998423,250,6.06613564491272,0.0,0
2,-67.97153024911064,0.9968396666666667,500,11.895131826400757,0.0,0
3,-22.600619195046338,0.9952563333333333,750,17.849557638168335,0.0,0
4,-30.00000000000024,0.993673,1000,23.519282817840576,0.0,0
5,-57.65472312703628,0.9920896666666666,1250,29.533173322677612,0.0,0
6,-20.15209125475279,0.9905063333333334,1500,35.15312194824219,0.0,0
7,-61.403508771930305,0.988923,1750,41.23999571800232,0.0,0
8,-42.49201277955295,0.9873396666666666,2000,47.13685870170593,0.0,0
9,-32.58426966292161,0.9857563333333333,2250,52.83824348449707,0.0,0
10,-39.068100358423514,0.984173,2500,58.66447567939758,0.0,0
11,10.000000000000211,0.9825896666666667,2750,64.8688018321991,0.0,0
12,-59.37500000000062,0.9810063333333333,3000,70.71806383132935,0.0,0
13,-44.827586206896925,0.979423,3250,76.7547767162323,0.0,0
14,-66.21621621621671,0.9778396666666667,3500,82.628333568573,0.0,0
15,-27.868852459016427,0.9762563333333333,3750,88.55291080474854,0.0,0
16,-24.52830188679244,0.974673,4000,94.31813740730286,0.0,0
17,-40.251572327044165,0.9730896666666666,4250,100.20337200164795,0.0,0
18,-48.529411764706175,0.9715063333333334,4500,105.81185221672058,0.0,0
19,-13.494809688581023,0.969923,4750,111.70085787773132,0.0,0
20,-31.271477663230392,0.9683396666666667,5000,117.97021651268005,0.6275526285171509,1
21,-64.40129449838244,0.9667563333333333,5250,125.34765982627869,0.8522758688181639,250
22,-31.407942238267143,0.965173,5500,132.18752002716064,0.7675034461840987,250
23,-28.03030303030307,0.9635896666666667,5750,139.1357705593109,0.710173105224967,250
24,-33.852140077821794,0.9620063333333333,6000,146.06371521949768,0.7252428448945284,250
25,-25.373134328358095,0.960423,6250,153.00303673744202,0.675788965344429,250
26,-29.824561403508834,0.9588396666666666,6500,160.09154343605042,0.7073718826472759,250
27,-69.49152542372907,0.9572563333333334,6750,167.0726420879364,0.6874018594026565,250
28,-59.25925925925987,0.955673,7000,174.14123582839966,0.7118862563967705,250
29,-55.12820512820574,0.9540896666666667,7250,181.4972701072693,0.6568380334898829,250
30,6.122448979592036,0.9525063333333333,7500,188.35013604164124,0.6892921608686448,250
31,-60.99290780141892,0.950923,7750,195.90309691429138,0.7144772159010172,250
32,-16.92307692307679,0.9493396666666667,8000,203.3539159297943,0.7061099520623684,250
33,-26.470588235294116,0.9477563333333333,8250,210.35428142547607,0.6812611434608697,250
34,-34.78260869565235,0.946173,8500,217.56059288978577,0.6661649734079838,250
35,-62.264150943396785,0.9445896666666667,8750,224.8803448677063,0.6630259186923504,250
36,-24.91467576791825,0.9430063333333334,9000,231.99193477630615,0.7127336138486862,250
37,-38.18181818181834,0.941423,9250,239.06843781471252,0.7041260481625795,250
38,-57.95795795795844,0.9398396666666666,9500,246.39384603500366,0.7452775719016791,250
39,-54.54545454545522,0.9382563333333334,9750,253.79303693771362,0.6857431883960963,250
40,-64.0522875816999,0.936673,10000,260.9718747138977,0.6420728589594364,250
41,-11.196911196911492,0.9350896666666667,10250,267.98976039886475,0.6210664755403995,250
42,11.913357400722278,0.9335063333333333,10500,275.14521503448486,0.7260425706654787,250
43,-74.84276729559747,0.9319230000000001,10750,282.57775139808655,0.6911571445167065,250
44,-26.056338028169424,0.9303396666666667,11000,289.6183338165283,0.6784152427613735,250
45,-37.08609271523212,0.9287563333333333,11250,296.88110065460205,0.6845133680254221,250
46,-56.86274509803963,0.927173,11500,304.17542338371277,0.7139901069700718,250
47,-60.85409252669099,0.9255896666666666,11750,311.4218895435333,0.6939036126732826,250
48,-72.22222222222236,0.9240063333333334,12000,318.5479984283447,0.7119002618640661,250
49,-61.78343949044655,0.922423,12250,326.0678918361664,0.6975763700902462,250
50,-40.1993355481729,0.9208396666666667,12500,333.2270200252533,0.7023448765873909,250
51,-52.07667731629437,0.9192563333333333,12750,340.815922498703,0.6978129316568374,250
52,-63.07692307692366,0.917673,13000,348.2896947860718,0.6629974389970302,250
53,-69.17808219178112,0.9160896666666667,13250,355.5829019546509,0.6860806174874305,250
54,-68.5039370078741,0.9145063333333333,13500,362.95692133903503,0.6958687400519847,250
55,-12.21374045801586,0.912923,13750,370.06981015205383,0.6673765372782946,250
56,-55.88235294117689,0.9113396666666667,14000,377.6161367893219,0.7005221858173609,250
57,-38.98305084745785,0.9097563333333334,14250,384.9453241825104,0.6907525219470263,250
58,-66.32996632996712,0.908173,14500,392.18397283554077,0.6853851989656686,250
59,-55.55555555555617,0.9065896666666666,14750,399.17767810821533,0.6576886588335037,250
60,-23.07692307692304,0.9050063333333334,15000,406.5056993961334,0.6723724983483553,250
61,-79.47214076246306,0.903423,15250,414.080703496933,0.7624469324052334,250
62,-21.875000000000473,0.9018396666666667,15500,420.8940830230713,0.7220968522801995,250
63,-43.03797468354481,0.9002563333333333,15750,428.40364837646484,0.6328724876791239,250
64,-28.057553956834713,0.898673,16000,435.5163369178772,0.6898073384910822,250
65,-46.76806083650214,0.8970896666666667,16250,442.70680141448975,0.7131422294229269,250
66,-45.86894586894617,0.8955063333333333,16500,450.25446009635925,0.7095439930856228,250
67,-38.5964912280704,0.893923,16750,457.7757523059845,0.696179120361805,250
68,-49.20634920634964,0.8923396666666666,17000,465.2925012111664,0.700040109731257,250
69,-69.49152542372912,0.8907563333333334,17250,472.55165696144104,0.7469745749533176,250
70,-47.76119402985148,0.889173,17500,479.7598114013672,0.669045845746994,250
71,-47.169811320755365,0.8875896666666667,17750,487.15728092193604,0.7154346600472927,250
72,-56.98924731182853,0.8860063333333333,18000,494.58103919029236,0.734400738209486,250
73,-32.33082706766926,0.884423,18250,501.65760684013367,0.7583492929041385,250
74,-25.65055762081785,0.8828396666666667,18500,508.81777238845825,0.6794045182317495,250
75,-35.672514619883685,0.8812563333333333,18750,516.493997335434,0.7323500646948814,250
76,-29.577464788732417,0.879673,19000,523.7721118927002,0.7254823365956545,250
77,-27.007299270073005,0.8780896666666667,19250,530.9913077354431,0.831262569129467,250
78,-48.33948339483421,0.8765063333333334,19500,538.0651061534882,0.740997646421194,250
79,-71.32616487455219,0.874923,19750,545.3378517627716,0.8006998869180679,250
80,-48.27586206896609,0.8733396666666666,20000,552.7046566009521,0.774583697617054,250
81,-47.91666666666694,0.8717563333333334,20250,560.0131478309631,0.8242378675043583,250
82,-26.406926406926388,0.870173,20500,567.0355422496796,0.7800565788596868,250
83,23.636363636363576,0.8685896666666667,20750,574.1042578220367,0.7755252450108528,250
84,-27.12550607287508,0.8670063333333333,21000,581.2011597156525,0.8027841635942459,250
85,-71.3261648745521,0.865423,21250,588.3729438781738,0.8690650215744973,250
86,-25.795053003533713,0.8638396666666667,21500,595.5079083442688,0.8560432610213756,250
87,-24.398625429553828,0.8622563333333333,21750,602.7292585372925,0.8324884544610978,250
88,-38.566552901024146,0.860673,22000,609.9855303764343,0.8842314393222332,250
89,-52.89855072463804,0.8590896666666666,22250,617.5820970535278,0.9699075731933117,250
90,-55.71955719557236,0.8575063333333334,22500,624.6830072402954,0.853437737762928,250
91,-67.39130434782645,0.855923,22750,632.0194277763367,0.8437633311748505,250
92,-74.91039426523298,0.8543396666666667,23000,639.1380927562714,0.8259712946116924,250
93,-48.45360824742302,0.8527563333333333,23250,646.3401234149933,0.9842846930921078,250
94,6.583072100312551,0.851173,23500,653.9284617900848,0.9446296321153641,250
95,-20.86330935251832,0.8495896666666667,23750,661.046452999115,0.8870831191539764,250
96,-35.975609756097874,0.8480063333333333,24000,668.3551681041718,0.9145832347869873,250
97,-31.740614334471204,0.846423,24250,675.542361497879,0.9329928947985172,250
98,-35.374149659864386,0.8448396666666667,24500,682.6467771530151,0.9873844149708748,250
99,-58.33333333333403,0.8432563333333334,24750,689.7853107452393,0.9243414913713932,250
100,-29.936305732484012,0.841673,25000,697.1430466175079,0.9263675057888031,250
101,-19.999999999999865,0.8400896666666666,25250,704.7766678333282,0.9949277194440365,250
102,-49.32432432432477,0.8385063333333334,25500,711.905868768692,0.9406879765987396,250
103,-48.27586206896617,0.836923,25750,719.3094131946564,0.9050589245557785,250
104,-67.85714285714319,0.8353396666666667,26000,726.5807549953461,0.9452569966316223,250
105,-57.69230769230816,0.8337563333333333,26250,733.7203032970428,0.9671480756103993,250
106,-48.453608247423006,0.832173,26500,741.0205581188202,0.9351230449080468,250
107,-42.238267148015055,0.8305896666666667,26750,748.2034757137299,0.9527500056624413,250
108,-39.285714285714405,0.8290063333333333,27000,755.3302946090698,0.9553832969069481,250
109,-40.5204460966545,0.827423,27250,762.6826591491699,0.9927901945710182,250
110,-54.24836601307229,0.8258396666666666,27500,769.9340596199036,0.9697466989755631,250
111,-62.96296296296356,0.8242563333333334,27750,777.266416311264,0.922339135825634,250
112,-59.044368600683164,0.822673,28000,784.5920734405518,0.9543727303147316,250
113,-36.50793650793673,0.8210896666666667,28250,791.8072357177734,1.0129244678020477,250
